crypto_name,symbol,price_usd,market_cap_usd,volume_usd,timestamp
bitcoin,btc,106039.0,2115428979449,70752096143,2025-11-10 16:11:50
ethereum,eth,3607.01,435242686088,31389814255,2025-11-10 16:11:50
tether,usdt,0.999841,183460307654,101317454476,2025-11-10 16:11:50
ripple,xrp,2.54,152292238004,4754333592,2025-11-10 16:11:50
binancecoin,bnb,999.98,137717935574,2068100030,2025-11-10 16:11:50
solana,sol,168.25,93171707557,5578424901,2025-11-10 16:11:50
usd-coin,usdc,0.999863,75850639562,11876977128,2025-11-10 16:11:50
staked-ether,steth,3603.45,31141215513,51067810,2025-11-10 16:11:50
tron,trx,0.294098,27842068924,553532005,2025-11-10 16:11:50
dogecoin,doge,0.182712,27711034452,1996855385,2025-11-10 16:11:50
